延安,炼焦煤,气煤,1290,2023-05-09
武威,炼焦煤,气煤,1350,2023-05-09
济宁,炼焦煤,气煤,1475,2023-05-09
徐州,炼焦煤,气煤,1420,2023-05-09
吕梁,炼焦煤,气煤,620,2023-05-09
太原,炼焦煤,瘦煤,1180,2023-05-09
神木,动力煤,Q5500,725,2023-05-09
赤峰,动力煤,Q5500,635,2023-05-09
徐州,动力煤,Q5500,960,2023-05-09
淮南,动力煤,Q5500,636,2023-05-09
天津港,动力煤,Q5500,900,2023-05-09
津唐港,动力煤,Q5500,900,2023-05-09
焦作,喷吹煤,无烟喷吹煤,1250,2023-05-09
宿州,喷吹煤,无烟喷吹煤,1570,2023-05-09
石嘴山,喷吹煤,无烟喷吹煤,1900,2023-05-09
永城,喷吹煤,无烟喷吹煤,1400,2023-05-09
神木,喷吹煤,烟煤喷吹煤,852,2023-05-09
衡阳,喷吹煤,无烟喷吹煤,1600,2023-05-09
曲靖,喷吹煤,无烟喷吹煤,1700,2023-05-09
阳泉,无烟煤,无烟洗中块,1160,2023-05-09
毕节,无烟煤,无烟洗中块,1700,2023-05-09
石嘴山,无烟煤,无烟洗大块,2900,2023-05-09
晋城,无烟煤,无烟末煤,990,2023-05-09
商丘,无烟煤,无烟洗中块,1750,2023-05-09
延安,炼焦煤,气煤,1290,2023-05-10
武威,炼焦煤,气煤,1350,2023-05-10
济宁,炼焦煤,气煤,1475,2023-05-10
徐州,炼焦煤,气煤,1420,2023-05-10
吕梁,炼焦煤,气煤,620,2023-05-10
太原,炼焦煤,瘦煤,1180,2023-05-10
神木,动力煤,Q5500,725,2023-05-10
赤峰,动力煤,Q5500,635,2023-05-10
徐州,动力煤,Q5500,960,2023-05-10
淮南,动力煤,Q5500,636,2023-05-10
天津港,动力煤,Q5500,900,2023-05-10
津唐港,动力煤,Q5500,900,2023-05-10
焦作,喷吹煤,无烟喷吹煤,1250,2023-05-10
宿州,喷吹煤,无烟喷吹煤,1570,2023-05-10
石嘴山,喷吹煤,无烟喷吹煤,1700,2023-05-10
永城,喷吹煤,无烟喷吹煤,1400,2023-05-10
神木,喷吹煤,烟煤喷吹煤,852,2023-05-10
衡阳,喷吹煤,无烟喷吹煤,1600,2023-05-10
曲靖,喷吹煤,无烟喷吹煤,1700,2023-05-10
阳泉,无烟煤,无烟洗中块,1160,2023-05-10
毕节,无烟煤,无烟洗中块,1700,2023-05-10
石嘴山,无烟煤,无烟洗大块,2900,2023-05-10
晋城,无烟煤,无烟末煤,990,2023-05-10
商丘,无烟煤,无烟洗中块,1750,2023-05-10
